Project ID,Project Name,Resource,Segment Start,Segment End,Hard Allocation Working Days,Soft Allocation Working Days
5001099,Global HR Application Maintenance,5004062,01.Jan.2024,01.Feb.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Feb.2024,01.Mar.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Mar.2024,01.Apr.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Apr.2024,01.May.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.May.2024,01.Jun.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Jun.2024,01.Jul.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Jul.2024,01.Aug.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Aug.2024,01.Sep.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Sep.2024,01.Oct.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Oct.2024,01.Nov.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Nov.2024,01.Dec.2024,0.0,0.00
5001099,Global HR Application Maintenance,5004062,01.Dec.2024,01.Jan.2025,0.0,11.00
5001099,Global HR Application Maintenance,5004062,01.Jan.2025,01.Feb.2025,0.0,0.00
